videoWebUrl,submittedVideoUrl,input,cid,createTime,createTimeISO,text,diggCount,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,uid,uniqueId,avatarThumbnail,mentions,detailedMentions,cleaned_text
https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,7553131484841689863,1758600474,2025-09-23T04:07:54.000Z,cakep till,10101,True,False,,18.0,6861910579557729281,ristyagt,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9edb6be719aeec7b05f647082ce63353~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3bed3f87&x-expires=1761310800&x-signature=mTnyoOwBV4pvo%2FnG0qmNs34Z5Lc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],cakep till cakep_till
https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,7553128544713425671,1758599787,2025-09-23T03:56:27.000Z,keranjang kuningnya mana kak untuk yang ini?,7550,False,False,,9.0,6984326231713956866,wstyyyyyy,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c1806f5e5011ba9ff61618d61fb691b2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=39eab642&x-expires=1761310800&x-signature=BCN2Y7%2FVE%2FAsYGBAsijcNV%2BHs58%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],keranjang kuning keranjang_kuning
https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,7553208885207302930,1758618495,2025-09-23T09:08:15.000Z,Soldout,500,False,False,7.553128544713426e+18,,6748085164792579073,jennifer.coppen,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/17aa30f28da6f0ba668564136e129cc2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8a18f8b0&x-expires=1761310800&x-signature=3oaZmwBJlET2vzbzY%2FGa%2Fu4Mw2w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],soldout
https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,7553125330203869970,1758599045,2025-09-23T03:44:05.000Z,"""mayi mintak"" 😭🤏🏻",18996,False,False,,6.0,6718152664696275970,viitaminccc,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/953715435a11134e0eaf893e9460094b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5c67842f&x-expires=1761310800&x-signature=7AH%2F8D6izogBvKpcpdyutRIcCfY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],mayi mintak mayi_mintak
https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,7553125789195043592,1758599148,2025-09-23T03:45:48.000Z,“Mayi cantik kan?” atah atah bocil wes bisa bertanya 😭🤏🏻,25432,False,False,,4.0,6813735812916626434,seracann_,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9de16cc4e5c2dabbf7ec72d14696bf8c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=702027a2&x-expires=1761310800&x-signature=M8mZ4NqiOiGpYwjaC70zRcQwINg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],mayi cantik atah atah bocil mayi_cantik cantik_atah atah_atah atah_bocil mayi_cantik_atah cantik_atah_atah atah_atah_bocil
https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,7553147488543474440,1758604199,2025-09-23T05:09:59.000Z,kepo bgt adekkkk😭💗💗💗😭😭😭,2213,False,False,,3.0,6689655765043135490,nusaaaaa13,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/926166d0bfca158900c51c7388dd82e8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0118ff29&x-expires=1761310800&x-signature=k46aDoaB9nctBTCUxMD8IlpMcyM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],kepo adekk kepo_adekk
https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,7553121903225979655,1758598240,2025-09-23T03:30:40.000Z,si blonde makin lucu aja sik😭😭❤️❤️❤️❤,50630,False,False,,4.0,6785047209609872385,rehanaaaaaaaa_,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/36d35e124fb82f367a96f9774c3d54f7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=580634b2&x-expires=1761310800&x-signature=PLSEJOUjQ4IjX1g9%2BWYj%2FXLn3lQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],blonde lucu blonde_lucu
https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,7553121652830372615,1758598183,2025-09-23T03:29:43.000Z,LAILAHAILALLAH 😭😭😭,5510,False,False,,0.0,7537969261995426824,rreandrealvaa,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/200c58879e84585e9900dfdb49377103~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e33b03ae&x-expires=1761310800&x-signature=ogCPivMGy1BFoJaukxMbpQoMthc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],lailahailallah
https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,7553161463164830482,1758607455,2025-09-23T06:04:15.000Z,"buah jatuh se pohon "" nya😭😭",2992,False,False,,4.0,6967627831367123970,linda8228123248526,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0063910a3079f69f4d972e1366db1b99~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=52836720&x-expires=1761310800&x-signature=Kt3QT4jQwNPgbQS5gQYJJkYvc%2Fg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],buah jatuh pohon buah_jatuh jatuh_pohon buah_jatuh_pohon
https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,https://www.tiktok.com/@jennifer.coppen/video/7553120869896310023?is_from_webapp=1&sender_device=pc,7553139531793711879,1758602347,2025-09-23T04:39:07.000Z,kamari ini bukan putih weh tapi pink😭😭🤣,13124,False,False,,10.0,6815269554516673537,cece070703,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/005ee2f19c9592673a5c61e5860c5fd9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ac1b0265&x-expires=1761310800&x-signature=O0T1Eb4TUXFiLgQwUo3KBuBNm5A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,[],[],kamar putih pink kamar_putih putih_pink kamar_putih_pink
